County,State,Outbreak Date,Flock Type,Species Name,Birds Affected,Flock Size
Mahoning,Ohio,2/27/2024,WOAH Non-Poultry,Assorted Pet Birds,140,140
Spokane,Washington,5/7/2022,WOAH Non-Poultry,Goose,80,80
Fillmore,Minnesota,12/19/2024,Commercial Turkey Meat Bird,Turkey,"28,600",28600
Hill,Montana,10/20/2022,WOAH Non-Poultry,Poultry,60,60
Prowers,Colorado,12/9/2022,Commercial Upland Gamebird Producer,Pheasant,"11,000",11000
Clay,Iowa,11/3/2023,WOAH Poultry,Duck,"8,300",8300
Palo Alto,Iowa,12/11/2024,Commercial Turkey Meat Bird,Turkey,"31,100",31100
Wayne,North Carolina,4/12/2022,Commercial Broiler Production,Chicken,"89,700",89700
Merced,California,1/29/2025,Commercial Duck Meat Bird,Duck,"87,800",87800
Livingston,Michigan,4/15/2022,WOAH Non-Poultry,Chicken,20,20
Essex,Massachusetts,3/7/2024,WOAH Poultry,Chicken,70,70
Okeechobee,Florida,10/20/2022,WOAH Non-Poultry,Poultry,2,2
Sacramento,California,12/27/2024,Commercial Broiler Production,Chicken,"153,800",153800
Caroline,Maryland,1/14/2025,Commercial Broiler Production,Chicken,"228,300",228300
Swift,Minnesota,6/27/2024,Commercial Turkey Meat Bird,Turkey,"25,300",25300
Clark,South Dakota,10/25/2023,Commercial Turkey Meat Bird,Turkey,"31,100",31100
Renville,North Dakota,4/21/2022,WOAH Non-Poultry,Poultry,70,70
Redwood,Minnesota,10/18/2023,Commercial Turkey Meat Bird,Turkey,"8,900",8900
Woodbury,Iowa,12/1/2023,WOAH Non-Poultry,Duck,40,40
Stanislaus,California,11/15/2024,Commercial Turkey Meat Bird,Turkey,"21,500",21500
Merced,California,12/5/2024,Commercial Table Egg Layer,Chicken,"1,723,800",1723800
Glacier,Montana,10/5/2022,WOAH Non-Poultry,Turkey,"1,100",1100
Hanson,South Dakota,12/20/2022,Commercial Turkey Meat Bird,Turkey,"31,800",31800
Stearns,Minnesota,6/24/2024,WOAH Non-Poultry,Chicken,310,310
Bingham,Idaho,3/6/2023,WOAH Non-Poultry,Chicken,10,10
Miami-dade,Florida,7/19/2024,Live Bird Market,Chicken,320,320
Clark,South Dakota,12/5/2022,Commercial Turkey Meat Bird,Turkey,"24,300",24300
Wright,Iowa,10/31/2022,Commercial Table Egg Layer,Chicken,"1,100,000",1100000
New Haven,Connecticut,1/24/2025,WOAH Non-Poultry,Multiple Poultry Species,30,30
Riverside,California,1/16/2025,Commercial Table Egg Pullets,Chicken,"208,200",208200
