County,State,Outbreak Date,Flock Type,Species Name,Birds Affected,Flock Size
Newton,Missouri,2/6/2025,Commercial Broiler Production,Chicken,"44,400",44400
Hillsborough,Florida,2/14/2023,WOAH Non-Poultry,Chicken,10,10
Jay,Indiana,1/16/2025,Commercial Table Egg Layer,Chicken,"353,300",353300
Dade,Missouri,4/6/2022,Commercial Turkey Meat Bird,Turkey,"14,000",14000
Trempealeau,Wisconsin,11/28/2023,Commercial Turkey Meat Bird,Turkey,"23,500",23500
Barron,Wisconsin,4/12/2022,Commercial Turkey Meat Bird,Turkey,"46,500",46500
Jasper,Missouri,11/14/2023,Commercial Turkey Meat Bird,Turkey,"29,300",29300
Adams,Pennsylvania,10/11/2022,WOAH Poultry,Turkey,"2,800",2800
Snohomish,Washington,6/2/2022,WOAH Non-Poultry,Chicken,30,30
Broward,Florida,10/14/2022,WOAH Poultry,Chicken,300,300
Berks,Pennsylvania,5/10/2022,Commercial Duck Meat Bird,Duck,"37,300",37300
Deschutes,Oregon,7/21/2022,WOAH Poultry,Poultry,60,60
Mercer,Ohio,1/23/2025,Commercial Table Egg Layer,Chicken,"1,468,900",1468900
Racine,Wisconsin,4/7/2022,WOAH Poultry,Poultry,220,220
Lake,South Dakota,11/19/2024,WOAH Non-Poultry,Chicken,20,20
Saint Croix,Wisconsin,10/13/2022,WOAH Non-Poultry,Poultry,20,20
Gratiot,Michigan,4/26/2024,Commercial Turkey Meat Bird,Turkey,"27,700",27700
Mitchell,Kansas,1/22/2024,Commercial Upland Gamebird Producer,Pheasant,"5,800",5800
Greene,Indiana,2/23/2022,Commercial Turkey Meat Bird,Turkey,"48,200",48200
Cleveland,Arkansas,1/22/2025,Commercial Broiler Production,Chicken,"106,900",106900
Crow Wing,Minnesota,5/10/2022,WOAH Poultry,Chicken,150,150
Placer,California,2/6/2023,WOAH Non-Poultry,Chicken,30,30
Jefferson,Washington,7/26/2022,WOAH Non-Poultry,Chicken,80,80
Broward,Florida,11/23/2022,WOAH Non-Poultry,Chicken,10,10
Charles Mix,South Dakota,3/12/2022,Commercial Turkey Meat Bird,Turkey,"37,500",37500
Dauphin,Pennsylvania,2/4/2025,Commercial Table Egg Layer,Chicken,"1,975,300",1975300
Sweet Grass,Montana,11/9/2023,WOAH Non-Poultry,Chicken,3,3
Pinal,Arizona,1/27/2025,Commercial Table Egg Layer,Chicken,"316,600",316600
Queens,New York,11/12/2022,Live Bird Market,Poultry,170,170
Umatilla,Oregon,1/21/2025,WOAH Non-Poultry,Chicken,50,50
Mcpherson,South Dakota,12/4/2023,Commercial Turkey Meat Bird,Turkey,"40,800",40800
Jerome,Idaho,5/10/2024,WOAH Poultry,Chicken,"1,100",1100
Pierce,Washington,9/16/2022,WOAH Non-Poultry,Duck,30,30
Pierce,Washington,5/11/2022,WOAH Non-Poultry,Chicken,20,20
Kandiyohi,Minnesota,5/18/2022,Commercial Turkey Breeder Toms,Turkey,"4,700",4700
Salt Lake,Utah,11/21/2024,WOAH Non-Poultry,Poultry,30,30
Fergus,Montana,4/29/2022,WOAH Non-Poultry,Chicken,110,110
Newton,Missouri,2/4/2025,Commercial Turkey Meat Bird,Turkey,"13,600",13600
Fresno,California,11/14/2024,Commercial Broiler Production,Chicken,"259,000",259000
Rice,Kansas,12/18/2023,WOAH Non-Poultry,Chicken,100,100
Brown,Minnesota,10/25/2023,WOAH Non-Poultry,Chicken,20,20
Polk,Wisconsin,5/3/2022,WOAH Non-Poultry,Poultry,120,120
Butler,Nebraska,3/22/2022,Commercial Broiler Production,Chicken,"570,000",570000
Lancaster,Pennsylvania,9/29/2022,WOAH Non-Poultry,Poultry,180,180
Wadena,Minnesota,1/24/2025,Commercial Turkey Meat Bird,Turkey,"275,600",275600
Routt,Colorado,4/24/2023,WOAH Non-Poultry,Chicken,20,20
Fresno,California,11/16/2022,Commercial Duck Breeder,Duck,"34,700",34700
Rice,Kansas,1/4/2024,Commercial Table Egg Pullets,Chicken,"240,000",240000
Suffolk,New York,2/18/2022,WOAH Non-Poultry,Poultry,8,8
Ada,Idaho,5/18/2022,WOAH Non-Poultry,Chicken,6,6
San Mateo,California,1/29/2025,WOAH Non-Poultry,Chicken,4,4
Humboldt,Iowa,4/2/2022,Commercial Table Egg Breeder,Chicken,"15,300",15300
Tulare,California,11/29/2024,Commercial Duck Breeder,Duck,"26,500",26500
Bernalillo,New Mexico,10/4/2022,WOAH Non-Poultry,Chicken,40,40
Ada,Idaho,5/12/2022,WOAH Non-Poultry,Poultry,10,10
Taylor,Iowa,11/14/2023,Commercial Table Egg Layer,Chicken,"1,121,100",1121100
Sonoma,California,11/30/2023,Commercial Table Egg Layer,Chicken,"82,500",82500
Hamlin,South Dakota,11/30/2022,Commercial Turkey Meat Bird,Turkey,"50,000",50000
Virginia Beach City,Virginia,1/31/2025,WOAH Non-Poultry,Multiple Poultry Species,210,210
Elbert,Georgia,1/17/2025,Commercial Broiler Breeder,Chicken,"45,500",45500
Kent,Delaware,1/9/2025,Commercial Broiler Production,Chicken,"194,800",194800
Polk,Oregon,12/15/2022,WOAH Non-Poultry,Chicken,20,20
Kandiyohi,Minnesota,11/21/2023,Commercial Breeder Operation,Turkey,"8,400",8400
Clallam,Washington,5/11/2022,WOAH Non-Poultry,Goose,10,10
Barnstable,Massachusetts,1/16/2024,WOAH Non-Poultry,Chicken,150,150
Brown,Minnesota,11/21/2023,Commercial Turkey Breeder Hens,Turkey,"6,400",6400
Weakley,Tennessee,12/28/2022,Commercial Broiler Breeder,Chicken,"43,600",43600
Linn,Oregon,12/13/2022,WOAH Non-Poultry,Chicken,20,20
Sullivan,New York,11/4/2022,WOAH Non-Poultry,Poultry,140,140
Sonoma,California,12/18/2023,WOAH Poultry,Chicken,"38,100",38100
Mercer,Ohio,1/30/2025,Commercial Turkey Meat Bird,Turkey,"11,200",11200
Mcpherson,South Dakota,4/4/2022,Commercial Turkey Meat Bird,Turkey,"61,000",61000
Sanpete,Utah,10/19/2022,Commercial Turkey Meat Bird,Turkey,"9,400",9400
Mercer,Ohio,1/29/2025,Commercial Turkey Meat Bird,Turkey,"20,100",20100
Jerome,Idaho,6/10/2024,WOAH Non-Poultry,Chicken,30,30
Morrison,Minnesota,4/5/2022,Commercial Turkey Meat Bird,Turkey,"105,300",105300
Salt Lake,Utah,5/17/2022,WOAH Non-Poultry,Chicken,30,30
Tipton,Tennessee,10/31/2022,WOAH Non-Poultry,Chicken,90,90
King,Washington,12/19/2023,WOAH Poultry,Multiple Poultry Species,90,90
Fond Du Lac,Wisconsin,5/3/2022,WOAH Non-Poultry,Poultry,20,20
Moody,South Dakota,12/14/2022,Commercial Table Egg Layer,Chicken,"1,332,100",1332100
Osceola,Florida,10/18/2022,WOAH Non-Poultry,Chicken,20,20
Matanuska Susitna,Alaska,4/29/2022,WOAH Non-Poultry,Chicken,30,30
Bergen,New Jersey,11/2/2022,WOAH Non-Poultry,Poultry,60,60
Bent,Colorado,11/30/2023,WOAH Poultry,Duck,"4,100",4100
Box Butte,Nebraska,10/4/2022,WOAH Non-Poultry,Chicken,100,100
Hamilton,Iowa,4/4/2022,Commercial Turkey Poult Supplier,Turkey,"8,100",8100
San Diego,California,11/3/2022,WOAH Poultry,Chicken,150,150
Stearns,Minnesota,10/27/2022,Commercial Turkey Meat Bird,Turkey,"75,000",75000
Lawrence,Missouri,1/22/2025,Commercial Turkey Meat Bird,Turkey,"52,400",52400
Lake,South Dakota,12/1/2022,Commercial Turkey Meat Bird,Turkey,"78,000",78000
Hamilton,Iowa,11/6/2023,Commercial Breeder (Multiple Bird Species),Multiple Poultry Species,"15,000",15000
Charles Mix,South Dakota,12/17/2024,WOAH Poultry,Multiple Poultry Species,"1,800",1800
Columbia,New York,2/15/2023,WOAH Poultry,Chicken,250,250
Oconto,Wisconsin,4/29/2022,WOAH Non-Poultry,Poultry,220,220
Queen Anne's,Maryland,3/8/2022,Commercial Broiler Production,Chicken,"139,300",139300
Rosebud,Montana,4/14/2023,WOAH Non-Poultry,Chicken,0,0
Lancaster,Pennsylvania,2/7/2025,WOAH Poultry,Duck,610,610
Fresno,California,11/12/2024,Commercial Turkey Meat Bird,Turkey,"34,800",34800
Anoka,Minnesota,5/6/2022,WOAH Non-Poultry,Chicken,10,10
Kingsbury,South Dakota,9/22/2022,WOAH Non-Poultry,Poultry,250,250
El Dorado,California,1/19/2023,WOAH Non-Poultry,Chicken,20,20
Fresno,California,8/26/2022,Commercial Broiler Breeder,Chicken,"34,800",34800
Mercer,Ohio,1/27/2025,Commercial Turkey Meat Bird,Turkey,"9,300",9300
Ionia,Michigan,4/16/2024,Commercial Table Egg Layer,Chicken,"2,422,700",2422700
Miami-dade,Florida,8/5/2024,WOAH Poultry,Multiple Poultry Species,"5,400",5400
Mercer,Ohio,1/27/2025,Commercial Turkey Meat Bird,Turkey,"12,600",12600
Dodge,Nebraska,12/21/2023,WOAH Non-Poultry,Chicken,40,40
St. Louis,Missouri,12/12/2023,WOAH Non-Poultry,Goose,20,20
Spink,South Dakota,12/3/2024,Commercial Turkey Meat Bird,Turkey,"41,400",41400
Tulare,California,12/10/2024,Commercial Broiler Production,Chicken,"330,200",330200
Mercer,Ohio,1/23/2025,Commercial Turkey Meat Bird,Turkey,"11,200",11200
Lawrence,Missouri,2/6/2025,Commercial Turkey Meat Bird,Turkey,"9,500",9500
Edmunds,South Dakota,4/1/2022,Commercial Turkey Breeder Replacement Hens,Turkey,"30,600",30600
Okanogan,Washington,5/12/2022,WOAH Non-Poultry,Duck,20,20
Walla Walla,Washington,8/18/2022,WOAH Non-Poultry,Duck,2,2
Codington,South Dakota,5/20/2022,WOAH Poultry,Chicken,80,80
Ransom,North Dakota,11/27/2024,Commercial Turkey Meat Bird,Multiple Poultry Species,"59,500",59500
Brown,Minnesota,9/13/2022,Commercial Turkey Meat Bird,Turkey,"43,700",43700
Charles Mix,South Dakota,12/10/2024,Commercial Turkey Meat Bird,Turkey,"32,400",32400
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,Multiple Poultry Species,"3,000",3000
Sanpete,Utah,10/7/2022,Commercial Turkey Meat Bird,Turkey,"38,900",38900
Macomb,Michigan,3/24/2022,WOAH Non-Poultry,Duck,70,70
Jefferson,Wisconsin,11/7/2022,Commercial Upland Gamebird Producer,Pheasant,"187,900",187900
Weld,Colorado,10/12/2022,WOAH Non-Poultry,Chicken,40,40
Knox,Maine,3/18/2024,WOAH Non-Poultry,Goose,40,40
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,Turkey,"39,600",39600
Northumberland,Pennsylvania,3/4/2023,WOAH Poultry,Chicken,680,680
Pottawatomie,Kansas,12/4/2023,WOAH Non-Poultry,Chicken,30,30
Erath,Texas,4/3/2022,Commercial Upland Gamebird Producer,Pheasant,"1,700",1700
Blue Earth,Minnesota,4/13/2022,Commercial Turkey Meat Bird,Turkey,"22,700",22700
Spink,South Dakota,11/25/2022,Commercial Turkey Meat Bird,Turkey,"55,500",55500
Martin,Minnesota,11/18/2024,WOAH Non-Poultry,Multiple Poultry Species,30,30
Kandiyohi,Minnesota,4/12/2022,Commercial Turkey Meat Bird,Turkey,"37,100",37100
Arapahoe,Colorado,1/8/2024,WOAH Non-Poultry,Chicken,20,20
Bates,Missouri,12/21/2022,WOAH Non-Poultry,Poultry,30,30
Weld,Colorado,7/8/2024,Commercial Table Egg Layer,Chicken,"1,790,800",1790800
Lamoure,North Dakota,11/15/2023,Commercial Turkey Meat Bird,Turkey,"25,100",25100
Chester,Pennsylvania,3/16/2023,Commercial Turkey Meat Bird,Turkey,"11,800",11800
Wright,Minnesota,11/3/2023,Commercial Table Egg Layer,Chicken,"940,000",940000
Williams,North Dakota,10/12/2023,WOAH Non-Poultry,Chicken,10,10
Buena Vista,Iowa,3/17/2022,Commercial Table Egg Layer,Chicken,"5,347,500",5347500
Mercer,Ohio,1/30/2025,Commercial Turkey Meat Bird,Turkey,"21,700",21700
Dodge,Nebraska,12/11/2024,WOAH Non-Poultry,Chicken,10,10
Obion,Tennessee,9/15/2022,WOAH Poultry,Chicken,130,130
Mercer,Ohio,1/24/2025,Commercial Turkey Meat Bird,Turkey,"18,500",18500
Hardin,Iowa,4/5/2022,Commercial Turkey Meat Bird,Turkey,"46,000",46000
Davidson,Tennessee,11/23/2022,WOAH Non-Poultry,Chicken,10,10
Lapeer,Michigan,10/7/2022,WOAH Poultry,Turkey,100,100
Fresno,California,11/29/2024,Commercial Duck Breeder,Duck,"23,100",23100
Bon Homme,South Dakota,3/26/2022,WOAH Non-Poultry,Poultry,230,230
New Castle,Delaware,2/22/2022,Commercial Table Egg Layer,Chicken,"1,046,900",1046900
Larimer,Colorado,2/5/2025,WOAH Non-Poultry,Chicken,10,10
Mcpherson,South Dakota,11/9/2023,Commercial Turkey Meat Bird,Turkey,"58,400",58400
Larimer,Colorado,10/14/2022,WOAH Non-Poultry,Chicken,20,20
Canyon,Idaho,1/3/2025,WOAH Non-Poultry,Chicken,70,70
Beadle,South Dakota,10/12/2022,Commercial Turkey Meat Bird,Turkey,"71,400",71400
Lancaster,Pennsylvania,4/26/2022,Commercial Table Egg Layer,Chicken,"307,400",307400
Sacramento,California,9/1/2022,WOAH Non-Poultry,Chicken,20,20
Monmouth,New Jersey,5/17/2022,WOAH Poultry,Poultry,60,60
Etowah,Alabama,12/12/2023,WOAH Non-Poultry,Chicken,80,80
Douglas,Oregon,9/30/2022,WOAH Non-Poultry,Chicken,30,30
Washburn,Wisconsin,1/5/2024,Commercial Turkey Meat Bird,Turkey,"41,000",41000
Tulare,California,10/24/2024,Commercial Broiler Production,Chicken,"6,000",6000
Morrison,Minnesota,4/19/2022,Commercial Turkey Meat Bird,Turkey,"17,600",17600
Lincoln,Wyoming,5/13/2022,WOAH Non-Poultry,Chicken,40,40
Ingham,Michigan,9/13/2022,WOAH Poultry,Chicken,20,20
Pope,Arkansas,10/14/2022,WOAH Non-Poultry,Chicken,470,470
York,Maine,3/14/2022,WOAH Non-Poultry,Chicken,180,180
Seminole,Florida,7/21/2022,WOAH Non-Poultry,Chicken,160,160
Kandiyohi,Minnesota,11/24/2023,Commercial Turkey Breeder Hens,Turkey,"7,300",7300
Cascade,Montana,1/16/2024,WOAH Non-Poultry,Chicken,50,50
Mitchell,Kansas,1/17/2023,Commercial Upland Gamebird Producer,Pheasant,"6,900",6900
Sacramento,California,1/8/2024,WOAH Non-Poultry,Chicken,30,30
Polk,Oregon,6/8/2022,WOAH Non-Poultry,Duck,90,90
Canyon,Idaho,5/18/2022,WOAH Non-Poultry,Chicken,10,10
Bay,Michigan,12/1/2023,WOAH Non-Poultry,Chicken,60,60
New Castle,Delaware,3/8/2022,Commercial Table Egg Pullets,Chicken,"243,900",243900
Schuylkill,Pennsylvania,2/12/2024,WOAH Non-Poultry,Chicken,30,30
Lac Qui Parle,Minnesota,3/29/2022,Commercial Turkey Meat Bird,Turkey,"22,500",22500
Cherokee,Iowa,12/7/2022,Commercial Turkey Meat Bird,Turkey,"105,000",105000
Caledonia,Vermont,4/28/2022,WOAH Non-Poultry,Duck,30,30
Jasper,Missouri,1/22/2025,Commercial Turkey Meat Bird,Turkey,"49,400",49400
Douglas,Oregon,1/11/2023,WOAH Non-Poultry,Other poultry,0,
Monona,Iowa,12/17/2024,WOAH Non-Poultry,Multiple Poultry Species,30,30
Fall River,South Dakota,11/17/2023,WOAH Non-Poultry,Multiple Poultry Species,80,80
Roberts,South Dakota,10/19/2022,Commercial Breeder Operation,Goose,"3,600",3600
Le Sueur,Minnesota,4/3/2023,WOAH Non-Poultry,Chicken,100,100
Jerome,Idaho,1/30/2025,WOAH Non-Poultry,Chicken,10,10
Grundy,Illinois,11/30/2022,WOAH Poultry,Pheasant,"8,800",8800
Franklin,Iowa,3/25/2022,Commercial Table Egg Pullets,Chicken,"250,200",250200
Merced,California,1/18/2024,Commercial Table Egg Pullets,Chicken,"285,600",285600
Broward,Florida,11/3/2022,WOAH Non-Poultry,Chicken,70,70
Darke,Ohio,2/6/2025,Commercial Table Egg Layer,Chicken,"522,200",522200
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,Multiple Poultry Species,"6,000",6000
Larimer,Colorado,6/26/2024,WOAH Non-Poultry,Chicken,10,10
Mercer,Ohio,2/4/2025,Commercial Table Egg Pullets,Chicken,"88,300",88300
Kitsap,Washington,8/19/2022,WOAH Non-Poultry,Duck,10,10
Sonoma,California,11/2/2024,WOAH Non-Poultry,Chicken,30,30
Tulare,California,10/16/2024,Commercial Broiler Production,Poultry,"786,600",786600
Kearney,Nebraska,1/27/2025,WOAH Non-Poultry,Multiple Poultry Species,90,90
Barron,Wisconsin,4/28/2022,Commercial Turkey Meat Bird,Turkey,"110,700",110700
Mercer,Ohio,2/6/2025,Commercial Turkey Meat Bird,Turkey,"10,100",10100
Rock,Wisconsin,4/1/2022,WOAH Non-Poultry,Chicken,20,20
Charles Mix,South Dakota,12/8/2023,Commercial Turkey Meat Bird,Turkey,"32,400",32400
Brule,South Dakota,11/22/2023,Commercial Turkey Meat Bird,Turkey,"45,100",45100
Kidder,North Dakota,3/29/2022,WOAH Poultry,Chicken,30,30
Parmer,Texas,4/2/2024,Commercial Table Egg Layer,Chicken,"1,894,100",1894100
Trempealeau,Wisconsin,11/22/2023,Commercial Turkey Meat Bird,Turkey,"51,300",51300
Salt Lake,Utah,6/13/2022,WOAH Non-Poultry,Chicken,70,70
Lancaster,Pennsylvania,4/20/2022,Commercial Table Egg Layer,Chicken,"1,127,700",1127700
Mills,Iowa,12/8/2023,WOAH Non-Poultry,Chicken,10,10
Nye,Nevada,10/17/2022,WOAH Poultry,Chicken,"1,600",1600
Darke,Ohio,12/14/2023,Commercial Table Egg Layer,Chicken,"522,300",522300
Lamoille,Vermont,12/6/2022,WOAH Non-Poultry,Chicken,50,50
Madison,Arkansas,10/31/2023,Commercial Broiler Breeder Pullets,Chicken,"31,600",31600
Carver,Minnesota,5/4/2022,WOAH Non-Poultry,Chicken,30,30
Creek,Oklahoma,10/20/2022,WOAH Non-Poultry,Poultry,50,50
Berks,Pennsylvania,5/14/2022,Commercial Table Egg Breeder,Chicken,"83,700",83700
Taylor,Wisconsin,11/20/2023,WOAH Non-Poultry,Goose,8,8
Berks,Pennsylvania,6/2/2022,Commercial Duck Meat Bird,Duck,"30,100",30100
Dallas,Missouri,2/23/2024,WOAH Poultry,Chicken,"20,300",20300
Mercer,Ohio,2/5/2025,Commercial Turkey Meat Bird,Turkey,"8,900",8900
Kandiyohi,Minnesota,4/4/2022,Commercial Turkey Meat Bird,Turkey,"38,500",38500
Barron,Wisconsin,12/8/2023,Commercial Turkey Meat Bird,Turkey,"70,000",70000
Buena Vista,Iowa,10/23/2023,Commercial Turkey Meat Bird,Turkey,"49,100",49100
Neosho,Kansas,10/7/2022,WOAH Poultry,Duck,"2,000",2000
Jerome,Idaho,5/20/2024,WOAH Poultry,Poultry,80,80
Hanson,South Dakota,1/7/2025,WOAH Non-Poultry,Multiple Poultry Species,50,50
Ottawa,Michigan,4/24/2024,Commercial Turkey Meat Bird,Turkey,"104,000",104000
Itasca,Minnesota,10/21/2022,WOAH Non-Poultry,Chicken,40,40
Kandiyohi,Minnesota,4/7/2022,Commercial Turkey Breeder Hens,Turkey,"20,800",20800
Newport,Rhode Island,10/20/2022,WOAH Non-Poultry,Duck,60,60
Weld,Colorado,12/20/2022,Commercial Table Egg Layer,Chicken,"239,700",239700
Ulster,New York,2/24/2022,WOAH Non-Poultry,Chicken,70,70
Swift,Minnesota,11/20/2023,Commercial Turkey Meat Bird,Turkey,"134,300",134300
Ionia,Michigan,5/10/2024,WOAH Non-Poultry,Chicken,90,90
Darke,Ohio,1/8/2025,Commercial Table Egg Layer,Chicken,"245,300",245300
Pinal,Arizona,11/13/2024,Commercial Table Egg Layer,Chicken,"829,200",829200
Matanuska Susitna,Alaska,11/8/2023,WOAH Non-Poultry,Duck,40,40
Hanson,South Dakota,12/12/2022,Commercial Turkey Meat Bird,Turkey,"23,900",23900
Kandiyohi,Minnesota,4/19/2022,Commercial Turkey Meat Bird,Turkey,"35,700",35700
Morrison,Minnesota,4/30/2022,WOAH Non-Poultry,Chicken,50,50
Roger Mills,Oklahoma,11/21/2024,WOAH Non-Poultry,Chicken,0,
Cecil,Maryland,3/10/2022,Commercial Table Egg Layer,Chicken,"663,400",663400
Latah,Idaho,12/15/2023,WOAH Poultry,Chicken,200,200
Buena Vista,Iowa,11/1/2023,Commercial Turkey Meat Bird,Turkey,"30,000",30000
Lowndes,Mississippi,11/14/2022,WOAH Non-Poultry,Goose,8,8
Kossuth,Iowa,11/14/2023,WOAH Poultry,Multiple Poultry Species,"13,000",13000
Morrison,Minnesota,4/12/2022,Commercial Broiler Production,Chicken,"42,900",42900
Darke,Ohio,1/17/2025,Commercial Table Egg Layer,Chicken,"103,200",103200
Canyon,Idaho,5/17/2022,WOAH Poultry,Duck,30,30
Ellsworth,Kansas,3/24/2023,WOAH Non-Poultry,Chicken,50,50
Berks,Pennsylvania,5/18/2022,Commercial Duck Breeder,Duck,"7,200",7200
Bon Homme,South Dakota,12/17/2024,Commercial Turkey Meat Bird,Turkey,"48,700",48700
King,Washington,6/22/2022,WOAH Non-Poultry,Chicken,3,3
Madera,California,1/29/2025,Commercial Duck Meat Bird,Duck,"18,600",18600
Charles Mix,South Dakota,3/5/2022,Commercial Turkey Meat Bird,Turkey,"44,100",44100
Beaufort,South Carolina,11/3/2022,WOAH Non-Poultry,Chicken,170,170
Johnston,North Carolina,3/29/2022,Commercial Turkey Meat Bird,Turkey,"32,100",32100
Lancaster,Pennsylvania,5/10/2022,Commercial Table Egg Layer,Chicken,"72,300",72300
Sheridan,Wyoming,5/13/2022,WOAH Non-Poultry,Chicken,20,20
Toombs,Georgia,6/1/2022,WOAH Non-Poultry,Poultry,490,490
Sonoma,California,12/18/2023,Commercial Table Egg Layer,Chicken,"497,700",497700
Polk,Oregon,1/25/2023,WOAH Non-Poultry,Chicken,20,20
Twin Falls,Idaho,2/12/2024,WOAH Non-Poultry,Poultry,20,20
Weld,Colorado,4/29/2022,Commercial Table Egg Layer,Chicken,"1,366,200",1366200
Johnson,Missouri,1/4/2023,WOAH Non-Poultry,Chicken,30,30
Suffolk,New York,1/17/2025,Commercial Duck Meat Bird,Duck,"101,000",101000
Mesa,Colorado,9/29/2022,WOAH Non-Poultry,Chicken,40,40
Barnes,North Dakota,4/13/2022,WOAH Poultry,Poultry,90,90
Mercer,Ohio,1/27/2025,Commercial Turkey Meat Bird,Turkey,"5,100",5100
Canyon,Idaho,5/13/2022,WOAH Non-Poultry,Chicken,9,9
Stanislaus,California,12/10/2024,Commercial Duck Breeder,Duck,"81,800",81800
Sanpete,Utah,10/13/2022,Commercial Turkey Meat Bird,Turkey,"100,000",100000
Summit,Ohio,9/15/2022,WOAH Non-Poultry,Goose,6,6
Clackamas,Oregon,12/9/2022,WOAH Non-Poultry,Duck,60,60
Cerro Gordo,Iowa,11/14/2023,WOAH Non-Poultry,Poultry,80,80
Beadle,South Dakota,4/19/2023,Commercial Turkey Meat Bird,Turkey,"75,800",75800
Tulsa,Oklahoma,10/14/2022,WOAH Non-Poultry,Chicken,30,30
Kings,California,11/14/2024,Commercial Broiler Production,Chicken,"53,300",53300
Hamlin,South Dakota,10/12/2022,WOAH Non-Poultry,Chicken,20,20
Scott,Arkansas,12/14/2023,WOAH Non-Poultry,Chicken,180,180
Miami-dade,Florida,2/28/2023,Live Bird Market,Poultry,510,510
Kings,California,10/29/2024,Commercial Broiler Production,Chicken,"305,500",305500
Mcpherson,Kansas,12/13/2023,WOAH Poultry,Chicken,"20,000",20000
Twin Falls,Idaho,12/30/2024,WOAH Non-Poultry,Chicken,30,30
Meeker,Minnesota,3/26/2022,Commercial Turkey Meat Bird,Turkey,"287,500",287500
Marshall,Alabama,11/2/2023,Commercial Broiler Breeder Pullets,Chicken,"47,900",47900
Faulk,South Dakota,11/23/2022,Commercial Turkey Meat Bird,Turkey,"49,900",49900
Nelson,North Dakota,9/30/2022,WOAH Non-Poultry,Poultry,50,50
Todd,Minnesota,4/20/2022,Commercial Turkey Meat Bird,Turkey,"30,100",30100
Missoula,Montana,11/12/2024,WOAH Poultry,Chicken,280,280
Sioux,Iowa,12/6/2024,Commercial Table Egg Layer,Chicken,"4,200,000",4200000
Stearns,Minnesota,3/26/2022,Commercial Turkey Meat Bird,Turkey,"23,500",23500
Burnet,Texas,1/9/2025,WOAH Non-Poultry,Chicken,10,10
Yankton,South Dakota,4/9/2022,Commercial Turkey Meat Bird,Turkey,"76,100",76100
Roberts,South Dakota,11/9/2023,Commercial Turkey Meat Bird,Turkey,"51,200",51200
Lassen,California,12/19/2023,WOAH Non-Poultry,Multiple Poultry Species,90,90
El Dorado,California,12/23/2024,WOAH Non-Poultry,Chicken,30,30
Lancaster,Pennsylvania,3/4/2023,Commercial Turkey Meat Bird,Turkey,"26,600",26600
Wayne,North Carolina,4/2/2022,Commercial Turkey Meat Bird,Turkey,"16,900",16900
Clay,Iowa,11/6/2023,WOAH Poultry,Duck,"1,700",1700
Kings,California,10/29/2024,Commercial Broiler Production,Chicken,"104,500",104500
Buena Vista,Iowa,12/12/2022,Commercial Turkey Meat Bird,Turkey,"51,200",51200
Moffat,Colorado,2/23/2023,WOAH Non-Poultry,Turkey,40,40
Dauphin,Pennsylvania,11/4/2022,WOAH Non-Poultry,Chicken,130,130
Morrison,Minnesota,3/31/2022,Commercial Turkey Meat Bird,Turkey,"52,600",52600
Canyon,Idaho,10/3/2023,WOAH Non-Poultry,Poultry,70,70
Lancaster,Pennsylvania,3/6/2023,WOAH Poultry,Goose,310,310
Cass,North Dakota,4/5/2022,WOAH Non-Poultry,Chicken,110,110
Fresno,California,11/20/2023,Commercial Duck Breeder,Duck,"23,400",23400
Stanislaus,California,10/13/2022,Commercial Turkey Meat Bird,Turkey,"54,900",54900
Otter Tail,Minnesota,4/8/2022,Commercial Turkey Meat Bird,Turkey,"29,900",29900
Lawrence,Missouri,4/5/2022,Commercial Turkey Meat Bird,Turkey,"27,600",27600
Jerauld,South Dakota,3/24/2022,Commercial Turkey Meat Bird,Turkey,"44,000",44000
Union,Oregon,1/9/2025,WOAH Poultry,Multiple Poultry Species,380,380
Mcpherson,South Dakota,11/3/2023,Commercial Turkey Breeder Hens,Turkey,"26,800",26800
Rice,Kansas,12/19/2023,Commercial Table Egg Layer,Chicken,"800,000",800000
Horry,South Carolina,1/17/2024,WOAH Non-Poultry,Multiple Poultry Species,190,190
Trempealeau,Wisconsin,11/28/2023,Commercial Turkey Meat Bird,Turkey,"48,700",48700
Sioux,Iowa,12/11/2024,Commercial Table Egg Layer,Chicken,"1,575,700",1575700
Kings,New York,4/18/2023,Live Bird Market,Multiple Poultry Species,"1,400",1400
Grady,Oklahoma,11/2/2023,WOAH Non-Poultry,Guinea Fowl,120,120
Gratiot,Michigan,5/2/2024,Commercial Turkey Meat Bird,Turkey,"26,400",26400
Beadle,South Dakota,11/25/2022,Commercial Turkey Meat Bird,Turkey,"67,900",67900
Edmunds,South Dakota,11/20/2023,Commercial Turkey Breeder Hens,Turkey,"19,200",19200
Bronx,New York,2/4/2025,Live Bird Market,Chicken,100,100
Columbia,Wisconsin,4/14/2022,WOAH Non-Poultry,Chicken,70,70
Beadle,South Dakota,10/25/2023,Commercial Turkey Meat Bird,Turkey,"51,100",51100
Day,South Dakota,5/4/2022,WOAH Poultry,Chicken,80,80
Dallas,Texas,9/24/2022,WOAH Non-Poultry,Duck,60,60
Hanson,South Dakota,10/25/2023,Commercial Turkey Meat Bird,Turkey,"13,400",13400
Anderson,Kansas,1/4/2023,Commercial Upland Gamebird Producer,Pheasant,"8,900",8900
