State,County,Outbreak Date,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
California,Yolo,2/10/2025,EA H5,Western gull,Wild bird,Morbidity/Mortality,UC Davis
North Carolina,Buncombe,2/10/2025,EA H5,Cackling goose,Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA H5,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Louisiana,Cameron,2/10/2025,EA/AM H5N1,Blue-winged teal,Wild bird,Live bird,SCWDS
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Indiana,Starke,2/6/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
California,San Joaquin,2/6/2025,EA H5,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
California,San Joaquin,2/6/2025,EA H5,Turkey vulture,Wild bird,Morbidity/Mortality,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,2/6/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Pennsylvania,Columbia,2/6/2025,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
Pennsylvania,Columbia,2/6/2025,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
Pennsylvania,Columbia,2/6/2025,EA H5N1,Goose (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
California,Tulare,2/5/2025,EA H5N1,Rock pigeon,Wild bird,Agency harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Nebraska,Buffalo,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Oregon,Columbia,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Oregon,Columbia,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Oregon,Columbia,2/4/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Michigan,Eaton,2/4/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Michigan,Eaton,2/4/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Michigan,Eaton,2/4/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Massachusetts,Middlesex,2/4/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Massachusetts,Middlesex,2/4/2025,EA H5,Mallard,Wild bird,Morbidity/Mortality,NWDP
Massachusetts,Middlesex,2/4/2025,EA H5,Red-breasted goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Oliver,2/4/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Oliver,2/4/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Connecticut,Middlesex,2/4/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Florida,Leon,2/4/2025,EA H5N1,Ring-necked duck,Wild bird,Morbidity/Mortality,SCWDS
Florida,Leon,2/4/2025,EA H5N1,Wood duck,Wild bird,Morbidity/Mortality,SCWDS
Florida,Leon,2/4/2025,EA H5N1,Green-winged teal,Wild bird,Morbidity/Mortality,SCWDS
California,San Diego,2/4/2025,EA/AM H5N1,Western gull,Wild bird,Morbidity/Mortality,Private (non-government) submission
California,San Diego,2/4/2025,EA/AM H5N1,Western gull,Wild bird,Morbidity/Mortality,Private (non-government) submission
California,San Diego,2/4/2025,EA/AM H5N1,Western gull,Wild bird,Morbidity/Mortality,Private (non-government) submission
California,San Diego,2/4/2025,EA/AM H5N1,Western gull,Wild bird,Morbidity/Mortality,Private (non-government) submission
California,San Diego,2/4/2025,EA/AM H5N1,California gull,Wild bird,Morbidity/Mortality,Private (non-government) submission
Texas,Lubbock,2/4/2025,EA H5,Common grackle,Wild bird,Morbidity/Mortality,TX PWD
Michigan,Eaton,2/3/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Michigan,Eaton,2/3/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Michigan,Eaton,2/3/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Michigan,Eaton,2/3/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Indiana,Starke,2/3/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
North Dakota,Oliver,2/3/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
North Dakota,Oliver,2/3/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Alabama,Baldwin,2/3/2025,EA H5,House finch,Wild bird,Morbidity/Mortality,AL DAI
Minnesota,Hennepin,2/3/2025,EA H5N1,Great horned owl,Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Minnesota,Socorro,2/3/2025,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Mississippi,Leflore,2/3/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Louisiana,Cameron,1/31/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Connecticut,Fairfield,1/31/2025,EA H5,American black duck,Wild bird,Hunter harvest,NWDP
New Hampshire,Merrimack,1/31/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/31/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/31/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/31/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/31/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/31/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Virginia,Virginia Beach,1/31/2025,EA H5,Ruddy duck,Wild bird,Hunter harvest,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Merrimack,1/30/2025,EA H5,American black duck,Wild bird,Live bird,NWDP
Maryland,Talbot,1/30/2025,EA H5N1,American black duck,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
Maryland,Talbot,1/30/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
New Mexico,Socorro,1/30/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Ohio,Pickaway,1/30/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
California,Alameda,1/28/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,CA DFW/CAHFS
Massachusetts,Plymouth,1/27/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Pennsylvania,Lancaster,1/27/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Vermont,Rutland,1/27/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/27/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Massachusetts,Hampden,1/27/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Connecticut,New Haven,1/27/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,New Haven,1/27/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,New Haven,1/27/2025,EA H5,Ring-necked duck,Wild bird,Hunter harvest,NWDP
Connecticut,New Haven,1/27/2025,EA H5,American black duck,Wild bird,Hunter harvest,NWDP
Connecticut,New Haven,1/27/2025,EA H5,American black duck,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/27/2025,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/27/2025,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
Texas,Travis,1/27/2025,EA/AM H5N1,Duck (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
New York,Bronx,1/27/2025,EA H5,Hooded merganser,Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Michigan,Roscommon,1/27/2025,EA H5,Snowy owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Marquette,1/27/2025,EA H5,Snowy owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Jackson,1/27/2025,EA H5,Red-tailed hawk,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Washtenaw,1/27/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Mackinac,1/27/2025,EA H5,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Eaton,1/27/2025,EA H5,Bald eagle,Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Michigan,Eaton,1/27/2025,EA H5,Bald eagle,Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Arizona,Mohave,1/24/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Louisiana,Jefferson,1/24/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Tennessee,Obion,1/24/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
California,Solano,1/24/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Kentucky,Ballard,1/24/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Kentucky,Ballard,1/24/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Tennessee,Obion,1/24/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Mississippi,Issaquena,1/24/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,1/24/2025,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
New York,Bronx,1/24/2025,EA H5,Merganser (unidentified),Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Alaska,Aleutians East,1/24/2025,EA H5N1,Mallard,Wild bird,Morbidity/Mortality,SCWDS
Alaska,Aleutians East,1/24/2025,EA H5N1,Northern pintail,Wild bird,Morbidity/Mortality,SCWDS
Alaska,Aleutians East,1/24/2025,EA H5N1,Northern pintail,Wild bird,Morbidity/Mortality,SCWDS
Alaska,Aleutians East,1/24/2025,EA H5N1,Northern pintail,Wild bird,Morbidity/Mortality,SCWDS
Colorado,Mesa,1/24/2025,EA H5,Broad-winged hawk,Wild bird,Morbidity/Mortality,Private (non-government) submission
New York,Bronx,1/24/2025,EA H5,Merganser (unidentified),Captive wild bird,Morbidity/Mortality,Private (non-government) submission
Ohio,Stark,1/24/2025,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,OH DNR
Ohio,Stark,1/24/2025,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,OH DNR
Michigan,Roscommon,1/24/2025,EA H5,Snowy owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Marquette,1/24/2025,EA H5,Snowy owl,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Jackson,1/24/2025,EA H5,Red-tailed hawk,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Washtenaw,1/24/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,MI DNR
Michigan,Mackinac,1/24/2025,EA H5,Bald eagle,Wild bird,Morbidity/Mortality,MI DNR
North Carolina,Hyde,1/23/2025,EA H5,Pintail,Wild bird,Hunter harvest,NWDP
Wyoming,Goshen,1/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Wyoming,Goshen,1/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Vermont,Rutland,1/23/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Mississippi,Tallahatchie,1/23/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Utah,Box Elder,1/23/2025,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Utah,Box Elder,1/23/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
West Virginia,Marion,1/22/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
West Virginia,Marion,1/22/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
West Virginia,Marion,1/22/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Louisiana,Richland,1/22/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
California,Solano,1/22/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
California,Solano,1/22/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Arizona,Mohave,1/22/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
New Jersey,Warren,1/22/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Warren,1/22/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Warren,1/22/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Warren,1/22/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Ohio,Muskingum,1/22/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Ohio,Muskingum,1/22/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Ohio,Muskingum,1/22/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Ohio,Muskingum,1/22/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Ohio,Muskingum,1/22/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Ohio,Muskingum,1/22/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Ohio,Mercer,1/21/2025,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,OH DNR
Wisconsin,Columbia,1/17/2025,EA H5,Red-tailed hawk,Wild bird,Morbidity/Mortality,NWDP
Iowa,Cherokee,1/16/2025,EA/AM H5N1,Canada goose,Wild bird,Morbidity/Mortality,APHIS Wildlife Services
Washington,Grant,1/16/2025,EA H5,Pintail,Wild bird,Hunter harvest,NWDP
Virginia,Virginia Beach,1/16/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
New Jersey,Salem,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Salem,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
New Jersey,Salem,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Missouri,Saline,1/16/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Missouri,Boone,1/16/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Idaho,Gooding,1/16/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Arkansas,Prairie,1/16/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,1/16/2025,EA H5,Snow goose,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Tyrrell,1/16/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
North Carolina,Hyde,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
North Carolina,Hyde,1/16/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/16/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Mallard,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Humphreys,1/16/2025,EA H5,Greater white-fronted goose,Wild bird,Morbidity/Mortality,NWDP
Tennessee,Gibson,1/16/2025,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
Tennessee,Obion,1/16/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
Utah,Box Elder,1/16/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Alabama,Limestone,1/16/2025,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Illinois,Tazewell,1/16/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,Private (non-government) submission
Wyoming,Sheridan,1/16/2025,EA H5,Great horned owl,Wild bird,Morbidity/Mortality,NY DEC
New York,Putnam,1/15/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,NY DEC
Arizona,La Paz,1/13/2025,EA H5,Northern pintail,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Northern pintail,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Arizona,La Paz,1/13/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Wisconsin,Dane,1/13/2025,EA H5N1,American crow,Wild bird,Morbidity/Mortality,NWDP
Oregon,Lake,1/10/2025,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
Arizona,La Paz,1/10/2025,EA H5,American wigeon,Wild bird,Live bird,NWDP
