State,County,Outbreak Date,HPAI Strain,Species
Minnesota,Scott,6/3/2022,EA H5N1,Red fox
North Dakota,Dickey,6/2/2022,EA/AM H5N1,Red fox
North Dakota,Dickey,6/2/2022,EA H5N1,Red fox
Iowa,Buchanan,5/31/2022,EA H5N1,Virginia opossum
Iowa,Buchanan,5/31/2022,EA H5N1,Virginia opossum
New York,Erie,5/27/2022,EA H5N1,Red fox
Minnesota,Stearns,5/27/2022,EA H5N1,Red fox
Minnesota,Itasca,5/27/2022,EA H5N1,Red fox
Alaska,Aleutians West,5/25/2022,EA H5N1,Red fox
Wisconsin,Lincoln,5/24/2022,EA H5N1,Bobcat
Wisconsin,Lincoln,5/24/2022,EA H5N1,Bobcat
New York,Niagara,5/19/2022,EA H5N1,Red fox
Iowa,Cedar,5/18/2022,EA H5N1,Red fox
New York,Tompkins,5/16/2022,EA H5N1,Red fox
New York,St Lawrence,5/16/2022,EA H5N1,Red fox
New York,St Lawrence,5/16/2022,EA H5N1,Red fox
New York,Erie,5/16/2022,EA H5N1,Red fox
New York,Erie,5/16/2022,EA H5N1,Red fox
Wisconsin,Jefferson,5/13/2022,EA H5N1,Red fox
Wisconsin,Dane,5/13/2022,EA H5N1,Red fox
Wisconsin,Rock,5/13/2022,EA H5N1,Red fox
Wisconsin,Adams,5/13/2022,EA H5N1,Red fox
Wisconsin,Adams,5/13/2022,EA H5N1,Red fox
Wisconsin,Grant,5/13/2022,EA H5N1,Red fox
Wisconsin,Grant,5/13/2022,EA H5N1,Red fox
Minnesota,Hennepin,5/12/2022,EA H5N1,Red fox
Minnesota,Dakota,5/12/2022,EA H5N1,Red fox
Minnesota,Washington,5/12/2022,EA H5N1,Red fox
Minnesota,Hennepin,5/12/2022,EA H5N1,Red fox
Michigan,Macomb,5/11/2022,EA H5N1,Red fox
Michigan,Macomb,5/11/2022,EA H5N1,Red fox
Michigan,St Clair,5/11/2022,EA H5N1,Red fox
Michigan,Lapeer,5/11/2022,EA H5N1,Red fox
Iowa,Hancock,5/11/2022,EA/AM H5N1,Red fox
Minnesota,Anoka,5/10/2022,EA H5N1,Red fox
Wisconsin,Jefferson,5/6/2022,EA H5N1,Red fox
Wisconsin,Jefferson,5/6/2022,EA H5N1,Red fox
Wisconsin,Dane,5/6/2022,EA H5N1,Red fox
Wisconsin,Rock,5/5/2022,EA H5N1,Red fox
Wisconsin,Waushara,5/5/2022,EA H5N1,Red fox
