County,State,Temp,Temp Anomaly (1901-2000 base period),Temp 1901-2000 Mean,Precipitation,Prec Anomaly (1901-2000 base period),Prec 1901-2000 Mean,Z Palmer Index,Z Anomaly (1901-2000 base period),Z 1901-2000 Mean
Autauga ,Alabama,65.9,2,63.9,52.43,-1.3,53.73,-0.3,-0.26,-0.04
Baldwin ,Alabama,68.7,2,66.8,60.71,-1.56,62.27,-0.23,-0.24,0.01
Barbour ,Alabama,66.4,1.6,64.8,55.97,3.45,52.52,0.1,0.08,0.01
Bibb ,Alabama,64.5,1.8,62.7,46.88,-8.55,55.43,-0.83,-0.79,-0.04
Blount ,Alabama,63.1,2.5,60.6,47.63,-8.19,55.82,-0.87,-0.92,0.04
Bullock ,Alabama,65.8,1.7,64.1,57.68,5.41,52.27,0.34,0.33,0.01
Butler ,Alabama,66.2,1.6,64.6,54.98,-0.95,55.93,-0.34,-0.29,-0.05
Calhoun ,Alabama,63.3,2.4,61,46.48,-7.11,53.59,-0.7,-0.7,0
Chambers ,Alabama,63.8,2.2,61.6,55.7,2.2,53.5,-0.09,-0.04,-0.05
Cherokee ,Alabama,62.5,1.9,60.6,46.01,-7.72,53.73,-0.82,-0.79,-0.03
Chilton ,Alabama,64.6,1.9,62.7,47.98,-6.42,54.4,-0.67,-0.62,-0.06
Choctaw ,Alabama,67.2,2.7,64.5,52.03,-5.11,57.14,-0.64,-0.67,0.03
Clarke ,Alabama,67,2.2,64.9,54.29,-3.89,58.18,-0.53,-0.5,-0.03
Clay ,Alabama,62.9,2.2,60.7,52.13,-3.92,56.05,-0.34,-0.34,0.01
Cleburne ,Alabama,62.4,2.5,59.9,50.85,-3.28,54.13,-0.27,-0.26,0
Coffee ,Alabama,67,1.6,65.4,58.36,1.89,56.47,0.03,-0.02,0.05
Colbert ,Alabama,62.9,2.9,59.9,50.75,-2.98,53.73,-0.47,-0.47,0
Conecuh ,Alabama,66.7,1.2,65.4,59.34,1.1,58.24,-0.09,-0.02,-0.07
Coosa ,Alabama,64.1,1.8,62.3,52.96,-1.87,54.83,-0.28,-0.22,-0.07
Covington ,Alabama,67.1,1.5,65.6,55.44,-3.46,58.9,-0.43,-0.42,0
Crenshaw ,Alabama,66,1.6,64.4,56.53,0.94,55.59,-0.14,-0.13,-0.01
Cullman ,Alabama,62.9,2.6,60.3,51.18,-5.14,56.32,-0.72,-0.74,0.02
Dale ,Alabama,67.2,1.5,65.7,53.58,-1.09,54.67,-0.16,-0.23,0.06
Dallas ,Alabama,66.5,2.2,64.3,46.99,-6.04,53.03,-0.77,-0.75,-0.02
DeKalb ,Alabama,60.9,1.6,59.3,46.77,-8.87,55.64,-0.81,-0.78,-0.03
Elmore ,Alabama,65.4,1.6,63.8,58.21,4.56,53.65,0.26,0.33,-0.07
Escambia ,Alabama,67.3,1.3,66,55.74,-4.97,60.71,-0.48,-0.47,-0.01
Etowah ,Alabama,63.1,2.3,60.9,44.22,-10.43,54.65,-1.04,-1.06,0.01
Fayette ,Alabama,63.7,1.7,62,54.75,-1.78,56.53,-0.43,-0.42,-0.01
Franklin ,Alabama,62.4,2.5,59.9,50,-4.9,54.9,-0.58,-0.56,-0.01
Geneva ,Alabama,67.6,1.5,66.1,59.7,2.23,57.47,0.09,0.04,0.06
Greene ,Alabama,65.7,1.9,63.8,46.66,-6.54,53.2,-0.7,-0.68,-0.02
Hale ,Alabama,65.7,2,63.7,45.25,-8.71,53.96,-0.85,-0.82,-0.03
Henry ,Alabama,67.3,1.6,65.7,50.37,-3.22,53.59,-0.35,-0.37,0.03
Houston ,Alabama,68,1.5,66.5,55.87,1.47,54.4,0.03,-0.03,0.06
Jackson ,Alabama,61.4,2,59.4,49.01,-5.83,54.84,-0.74,-0.7,-0.04
Jefferson ,Alabama,64.1,2.3,61.8,46.54,-9.24,55.78,-1.01,-1.02,0
Lamar ,Alabama,64.4,2.4,62.1,50.65,-4.52,55.17,-0.7,-0.66,-0.05
Lauderdale ,Alabama,62.6,3.1,59.5,50.1,-4.08,54.18,-0.56,-0.57,0.02
Lawrence ,Alabama,62.5,2.4,60.1,47.45,-6.15,53.6,-0.67,-0.69,0.03
Lee ,Alabama,65,2,63,59.86,7.39,52.47,0.3,0.35,-0.05
Limestone ,Alabama,62.6,2.7,59.9,50.39,-3.5,53.89,-0.6,-0.58,-0.02
Lowndes ,Alabama,66.5,1.9,64.6,52.35,-0.23,52.58,-0.22,-0.23,0.02
Macon ,Alabama,65.7,1.7,64,58.42,6.52,51.9,0.4,0.41,-0.01
Madison ,Alabama,62.5,2.6,59.9,50.5,-4,54.5,-0.65,-0.62,-0.03
Marengo ,Alabama,66.7,2.4,64.3,42.96,-11.45,54.41,-1.14,-1.13,-0.01
Marion ,Alabama,63,2.2,60.8,50.15,-5.66,55.81,-0.61,-0.6,-0.01
Marshall ,Alabama,62.8,2.5,60.3,45.48,-9.08,54.56,-0.97,-0.98,0.01
Mobile ,Alabama,69.1,2.6,66.4,60.12,-2.76,62.88,-0.41,-0.43,0.02
Monroe ,Alabama,66.8,1.7,65.1,57.21,-0.28,57.49,-0.29,-0.22,-0.07
Montgomery ,Alabama,65.9,1.4,64.5,56.96,4.62,52.34,0.29,0.32,-0.03
Morgan ,Alabama,62.9,2.7,60.2,49.51,-4.64,54.15,-0.7,-0.69,-0.01
Perry ,Alabama,65.6,2,63.6,43.11,-10.68,53.79,-1.04,-0.99,-0.06
Pickens ,Alabama,65.3,2.2,63.1,47.42,-6.21,53.63,-0.83,-0.79,-0.03
Pike ,Alabama,66.3,1.6,64.6,57.53,2.91,54.62,0.11,0.08,0.03
Randolph ,Alabama,63.1,2.6,60.5,53.67,-1.23,54.9,-0.23,-0.21,-0.02
Russell ,Alabama,66,1.8,64.2,58.26,8.23,50.03,0.46,0.48,-0.02
St. Clair ,Alabama,63.5,2.4,61.1,45.58,-9.77,55.35,-0.96,-0.99,0.03
Shelby ,Alabama,64.2,2.2,62,45.91,-9.2,55.11,-0.93,-0.91,-0.03
Sumter ,Alabama,66.4,2.3,64,46.43,-7.94,54.37,-0.9,-0.85,-0.05
Talladega ,Alabama,63.9,2.1,61.8,46.82,-7.09,53.91,-0.55,-0.56,0.01
Tallapoosa ,Alabama,64,1.9,62.1,56.69,2.29,54.4,-0.04,0.02,-0.06
Tuscaloosa ,Alabama,64.5,1.4,63,49.02,-6.65,55.67,-0.67,-0.66,-0.01
Walker ,Alabama,63.4,1.7,61.6,51.46,-5.34,56.8,-0.68,-0.7,0.02
Washington ,Alabama,67.7,2.3,65.4,55.21,-4.8,60.01,-0.56,-0.6,0.04
Wilcox ,Alabama,66.8,2.1,64.7,49.32,-5.17,54.49,-0.66,-0.62,-0.03
Winston ,Alabama,62.3,2.1,60.2,50.86,-5.79,56.65,-0.68,-0.7,0.03
Apache ,Arizona,52,2.2,49.7,10.95,-2.48,13.43,-0.76,-0.76,-0.01
Cochise ,Arizona,62.6,2.3,60.3,10.59,-3.97,14.56,-0.76,-0.85,0.09
Coconino ,Arizona,54.9,3.2,51.7,9.64,-3.92,13.56,-1.44,-1.53,0.1
Gila ,Arizona,61.4,2.9,58.5,15.32,-5.36,20.68,-0.8,-0.89,0.09
Graham ,Arizona,62.9,2.6,60.2,10.2,-4.99,15.19,-0.98,-1,0.03
Greenlee ,Arizona,58.1,2.4,55.7,11.99,-4.76,16.75,-0.96,-0.93,-0.03
La Paz ,Arizona,73.7,3.4,70.3,2.35,-3.61,5.96,-1.37,-1.47,0.11
Maricopa ,Arizona,72.5,3.3,69.1,5.04,-4.19,9.23,-0.93,-1.01,0.09
Mohave ,Arizona,64.8,3.4,61.4,5.45,-5.1,10.55,-1.42,-1.46,0.05
Navajo ,Arizona,54,2.9,51.1,8.93,-3.41,12.34,-1.14,-1.22,0.08
Pima ,Arizona,69.3,2.8,66.5,8.72,-3.73,12.45,-0.46,-0.54,0.07
Pinal ,Arizona,70.7,3,67.6,8.86,-3.63,12.49,-0.54,-0.65,0.11
Santa Cruz ,Arizona,62.1,2.2,59.9,13.41,-4.95,18.36,-0.45,-0.56,0.11
Yavapai ,Arizona,61.2,2.9,58.2,10.89,-5.32,16.21,-1.06,-1.16,0.1
Yuma ,Arizona,74.3,3.4,70.9,2.23,-2.64,4.87,-0.97,-1.05,0.07
Arkansas ,Arkansas,65.1,2.9,62.1,48.76,-2.3,51.06,-0.51,-0.49,-0.02
Ashley ,Arkansas,66.3,3.1,63.2,59.06,5.94,53.12,0.04,0.04,0
Baxter ,Arkansas,60.2,3.1,57.1,53.18,9.76,43.42,0.61,0.55,0.05
Benton ,Arkansas,61.2,3.9,57.3,38.9,-6.38,45.28,-0.82,-0.84,0.02
Boone ,Arkansas,59.9,3.1,56.8,46.26,2.59,43.67,-0.08,-0.12,0.04
Bradley ,Arkansas,65.8,3.1,62.7,51.99,-0.06,52.05,-0.32,-0.31,-0.02
Calhoun ,Arkansas,65.3,2.5,62.7,52.08,0.4,51.68,-0.26,-0.25,-0.02
Carroll ,Arkansas,60.3,3.3,56.9,42.89,-1.76,44.65,-0.49,-0.53,0.03
Chicot ,Arkansas,66.4,2.8,63.5,57.18,4.17,53.01,-0.02,-0.04,0.02
Clark ,Arkansas,64.3,2.2,62.1,49.45,-2.13,51.58,-0.48,-0.42,-0.06
Clay ,Arkansas,62,3.3,58.7,51.94,4.13,47.81,0.17,0.16,0.01
Cleburne ,Arkansas,62,3.2,58.9,54.28,4.21,50.07,0.12,0.15,-0.03
Cleveland ,Arkansas,65,2.7,62.3,47.99,-3.62,51.61,-0.55,-0.53,-0.01
Columbia ,Arkansas,65.5,2.2,63.4,59.08,7.94,51.14,0.3,0.31,-0.02
Conway ,Arkansas,63.2,3,60.2,54.82,5.76,49.06,0.24,0.25,-0.01
Craighead ,Arkansas,62.7,3.3,59.4,48.16,-0.36,48.52,-0.19,-0.2,0.01
Crawford ,Arkansas,63,3.7,59.3,51.72,4.06,47.66,-0.07,-0.07,0
Crittenden ,Arkansas,63.9,2.6,61.2,53.75,3.73,50.02,0.08,0.06,0.02
Cross ,Arkansas,63.2,2.4,60.8,51.75,1.37,50.38,-0.1,-0.12,0.02
Dallas ,Arkansas,64.4,2.1,62.2,48.79,-2.53,51.32,-0.5,-0.46,-0.03
Desha ,Arkansas,65.4,2.7,62.7,52.57,1.05,51.52,-0.26,-0.24,-0.01
Drew ,Arkansas,65.9,3.1,62.8,51.88,-0.79,52.67,-0.37,-0.35,-0.01
Faulkner ,Arkansas,63.1,2.6,60.5,51.57,1.24,50.33,-0.1,-0.06,-0.04
Franklin ,Arkansas,62.7,3.5,59.2,52.51,4.42,48.09,0.05,0.03,0.02
Fulton ,Arkansas,60.2,3.7,56.5,53.83,8.58,45.25,0.53,0.5,0.03
Garland ,Arkansas,63.8,3,60.8,44.93,-7.72,52.65,-0.94,-0.9,-0.04
Grant ,Arkansas,64.3,2.2,62.1,53.4,1.85,51.55,-0.24,-0.21,-0.03
Greene ,Arkansas,62.3,3.3,59,47.73,-0.04,47.77,-0.18,-0.22,0.04
Hempstead ,Arkansas,64.9,2.3,62.6,58.51,7.92,50.59,0.22,0.29,-0.07
Hot Spring ,Arkansas,64.3,2.5,61.7,45.58,-6.79,52.37,-0.85,-0.82,-0.03
Howard ,Arkansas,63.8,2.6,61.3,53.53,1.56,51.97,-0.28,-0.22,-0.05
Independence ,Arkansas,61.6,2.8,58.7,50.54,2.14,48.4,0.03,0.04,0
Izard ,Arkansas,60.5,3,57.5,52.79,7.05,45.75,0.44,0.42,0.03
Jackson ,Arkansas,62.3,2.7,59.6,46.84,-1.91,48.75,-0.36,-0.34,-0.02
Jefferson ,Arkansas,64.7,2.6,62.1,48.49,-2.75,51.24,-0.46,-0.44,-0.02
Johnson ,Arkansas,61.9,3.3,58.6,54.66,5.21,49.45,0.07,0.07,0
Lafayette ,Arkansas,66.4,2.9,63.5,60.51,10.63,49.88,0.44,0.46,-0.01
Lawrence ,Arkansas,61.7,3,58.7,44.53,-2.87,47.4,-0.46,-0.51,0.05
Lee ,Arkansas,64.5,2.9,61.6,54.84,3.67,51.17,0.02,-0.01,0.03
Lincoln ,Arkansas,65.5,3,62.4,48.29,-4,52.29,-0.56,-0.54,-0.02
Little River ,Arkansas,65.9,3.3,62.6,57.84,9.16,48.68,0.32,0.33,-0.02
Logan ,Arkansas,63.5,3.4,60.2,51.96,5.09,46.87,0.09,0.08,0.02
Lonoke ,Arkansas,64.1,2.5,61.6,50.1,-0.01,50.11,-0.27,-0.26,-0.01
Madison ,Arkansas,60.2,3.7,56.5,46.06,-1.57,47.63,-0.48,-0.48,0
Marion ,Arkansas,60.1,3,57.1,49.12,6.13,42.99,0.3,0.23,0.07
Miller ,Arkansas,66.9,3.4,63.6,57.34,8.39,48.95,0.29,0.28,0.01
Mississippi ,Arkansas,62.9,2.8,60.1,50.65,2.08,48.57,0.03,0.02,0.01
Monroe ,Arkansas,64.7,3,61.7,50.37,-0.24,50.61,-0.26,-0.29,0.03
Montgomery ,Arkansas,63.3,3.2,60.1,55.75,3.28,52.47,-0.24,-0.2,-0.03
Nevada ,Arkansas,64.6,1.8,62.7,57.84,6.75,51.09,0.17,0.24,-0.07
Newton ,Arkansas,59.2,2.8,56.4,46.11,-2.09,48.2,-0.44,-0.44,0
Ouachita ,Arkansas,64.8,1.7,63,52.7,1.31,51.39,-0.16,-0.11,-0.05
Perry ,Arkansas,63.7,3,60.8,48.72,-0.32,49.04,-0.28,-0.3,0.02
Phillips ,Arkansas,65,3.1,61.9,53.78,2,51.78,-0.18,-0.17,-0.01
Pike ,Arkansas,63.8,2.6,61.2,54.1,1.17,52.93,-0.37,-0.29,-0.07
Poinsett ,Arkansas,62.9,2.8,60.1,49.6,0.46,49.14,-0.06,-0.09,0.03
Polk ,Arkansas,62.2,2.9,59.3,53.36,0.57,52.79,-0.29,-0.27,-0.02
Pope ,Arkansas,62.1,3,59.1,51.79,2.39,49.4,-0.13,-0.11,-0.02
Prairie ,Arkansas,64.3,2.7,61.6,46.47,-3.67,50.14,-0.51,-0.51,0
Pulaski ,Arkansas,64,2.6,61.4,51.75,1.02,50.73,-0.24,-0.21,-0.03
Randolph ,Arkansas,61.4,3.4,58,47.07,-0.13,47.2,-0.18,-0.23,0.05
St. Francis ,Arkansas,63.9,2.6,61.3,53.76,2.83,50.93,-0.01,-0.04,0.03
Saline ,Arkansas,64,2.8,61.2,50.11,-2.09,52.2,-0.5,-0.47,-0.03
Scott ,Arkansas,62.9,3.2,59.7,52.84,4.46,48.38,0.12,0.08,0.04
Searcy ,Arkansas,59.4,2.4,57,49.48,3.02,46.46,0.06,0.02,0.04
Sebastian ,Arkansas,64,3.6,60.4,55.37,9.96,45.41,0.55,0.5,0.05
Sevier ,Arkansas,64.6,3,61.7,55.21,4.62,50.59,-0.07,-0.04,-0.03
Sharp ,Arkansas,60.5,3.1,57.4,50.74,3.78,46.96,0.23,0.2,0.04
Stone ,Arkansas,60.6,2.9,57.7,55.52,7.89,47.63,0.41,0.4,0
Union ,Arkansas,65.9,2.7,63.2,57.84,5.58,52.26,0.06,0.07,-0.01
Van Buren ,Arkansas,61,2.8,58.2,53.22,2.64,50.58,0.03,0.02,0
Washington ,Arkansas,61.3,4,57.3,43.98,-3.05,47.03,-0.6,-0.6,0
White ,Arkansas,63.2,2.9,60.3,50.22,-0.04,50.26,-0.28,-0.23,-0.05
Woodruff ,Arkansas,63.4,2.6,60.8,46.91,-3.05,49.96,-0.31,-0.32,0.01
Yell ,Arkansas,63.8,3.2,60.5,46.88,-1.42,48.3,-0.51,-0.52,0
Alameda ,California,61.2,3.3,57.9,17.14,-1.6,18.74,-0.35,-0.45,0.1
Alpine ,California,46.2,2.9,43.3,32.12,-4.07,36.19,-0.75,-0.71,-0.04
Amador ,California,60.1,2.9,57.2,31.57,-3.65,35.22,-0.69,-0.74,0.05
Butte ,California,62.3,3.5,58.8,44.2,-0.18,44.38,-0.52,-0.58,0.06
Calaveras ,California,60.3,2.7,57.6,30.17,-4.08,34.25,-0.64,-0.69,0.06
Colusa ,California,63.9,3.5,60.4,28.46,6.48,21.98,0.06,0,0.06
Contra Costa ,California,62.2,3.4,58.8,15.67,-2.8,18.47,-0.54,-0.62,0.08
Del Norte ,California,53.1,2.3,50.8,82.8,2.64,80.16,-0.35,-0.35,0
El Dorado ,California,56.1,2.8,53.3,39.25,-5.4,44.65,-0.81,-0.85,0.05
Fresno ,California,57.8,3.4,54.4,15.9,-3.7,19.6,-0.97,-1.02,0.05
Glenn ,California,62.5,3.2,59.3,32.12,6.26,25.86,-0.16,-0.22,0.06
Humboldt ,California,55.4,2.5,52.9,77.11,13.6,63.51,0.23,0.23,0
Imperial ,California,76,3.8,72.2,1.02,-2.36,3.38,-1.25,-1.42,0.17
Inyo ,California,62.8,3.2,59.5,5.29,-0.96,6.25,-0.44,-0.47,0.03
Kern ,California,63.7,3.2,60.5,9.06,0,9.06,-0.15,-0.17,0.02
Kings ,California,66.2,3.7,62.5,7.64,0.03,7.61,-0.34,-0.43,0.09
Lake ,California,59.1,2.7,56.3,54.39,10.95,43.44,-0.18,-0.21,0.03
Lassen ,California,49,2.9,46.1,20.31,-0.14,20.45,-0.54,-0.63,0.09
Los Angeles ,California,62.5,2.6,59.9,16.7,1.16,15.54,-0.19,-0.27,0.08
Madera ,California,58.6,3.5,55.1,19.7,-3.41,23.11,-0.78,-0.82,0.04
Marin ,California,57.8,3,54.8,38.52,3.05,35.47,-0.34,-0.42,0.08
Mariposa ,California,57.7,3.2,54.5,28.91,-3.89,32.8,-0.7,-0.72,0.03
Mendocino ,California,57.4,2.5,54.8,58.84,7.2,51.64,-0.19,-0.2,0
Merced ,California,64.2,3.2,61,11.21,-0.05,11.26,0.12,0.08,0.04
Modoc ,California,49,3.4,45.5,18.79,0.68,18.11,-0.34,-0.46,0.12
Mono ,California,46.1,2.9,43.2,13.49,-2.17,15.66,-0.97,-0.95,-0.02
Monterey ,California,60.1,2.9,57.2,19.77,-0.32,20.09,-0.07,-0.15,0.08
Napa ,California,61.1,2.9,58.2,34.23,3.16,31.07,-0.41,-0.48,0.08
Nevada ,California,54.2,2.4,51.7,48.05,-2.31,50.36,-0.62,-0.64,0.02
Orange ,California,64.4,2,62.3,13.81,0.27,13.54,0.05,-0.02,0.08
Placer ,California,55.6,2.5,53,43.11,-2.67,45.78,-0.64,-0.67,0.03
Plumas ,California,49.3,2.6,46.8,44.15,2.88,41.27,-0.29,-0.33,0.04
Riverside ,California,70.2,3.4,66.8,5.15,-3.35,8.5,-0.84,-0.97,0.13
Sacramento ,California,64.2,3.1,61.1,18.01,-0.65,18.66,-0.29,-0.32,0.02
San Benito ,California,60.7,3.3,57.4,17.16,0.41,16.75,-0.14,-0.21,0.07
San Bernardino ,California,68.3,3.2,65,5.09,-1.78,6.87,-0.58,-0.68,0.1
San Diego ,California,63.8,2.6,61.2,9.94,-4.35,14.29,-0.54,-0.7,0.16
San Francisco ,California,58.3,2.6,55.8,24.55,0.28,24.27,-0.03,-0.16,0.12
San Joaquin ,California,64.2,3.4,60.7,13.27,-0.77,14.04,-0.12,-0.16,0.04
San Luis Obispo ,California,61.1,3.1,58,15.76,-1.38,17.14,-0.21,-0.28,0.08
San Mateo ,California,58.7,3.3,55.4,25.03,-3.61,28.64,-0.46,-0.56,0.1
Santa Barbara ,California,59.7,3.1,56.6,20.6,1.83,18.77,-0.03,-0.18,0.15
Santa Clara ,California,60.2,3.3,56.9,22.31,-0.81,23.12,-0.26,-0.37,0.11
Santa Cruz ,California,58.7,3,55.7,28.18,-4.86,33.04,-0.4,-0.47,0.07
Shasta ,California,57.2,2.9,54.3,47.92,6,41.92,-0.37,-0.41,0.04
Sierra ,California,49,2.6,46.4,44.34,-1.46,45.8,-0.54,-0.54,0.01
Siskiyou ,California,50.7,2.9,47.8,40.26,1.39,38.87,-0.62,-0.63,0.02
Solano ,California,62.7,3,59.7,19.11,-0.65,19.76,-0.39,-0.45,0.07
Sonoma ,California,58.8,2.8,56.1,48.06,6.03,42.03,-0.34,-0.43,0.09
Stanislaus ,California,63.5,3.1,60.4,14.15,0.52,13.63,0.02,-0.02,0.04
Sutter ,California,65.3,3.5,61.8,20.84,1.89,18.95,-0.11,-0.17,0.06
Tehama ,California,60.6,2.7,57.9,40.95,4.43,36.52,-0.31,-0.37,0.06
Trinity ,California,54.4,2.8,51.6,64.83,7.31,57.52,-0.42,-0.4,-0.02
Tulare ,California,56.4,3.2,53.2,17.59,-4.25,21.84,-0.98,-1.01,0.03
Tuolumne ,California,52.3,2.7,49.6,36.26,-4.6,40.86,-0.68,-0.72,0.04
Ventura ,California,58.2,2.2,56,21.99,1.64,20.35,-0.08,-0.21,0.13
Yolo ,California,63.7,2.8,60.9,21.34,1.36,19.98,-0.24,-0.29,0.05
Yuba ,California,62.9,3.1,59.8,37.4,-0.28,37.68,-0.58,-0.65,0.07
Adams ,Colorado,51.8,3.3,48.5,14.78,-0.38,15.16,-0.11,-0.22,0.11
Alamosa ,Colorado,44.6,2.9,41.8,16.76,6.38,10.38,1.61,1.53,0.08
Arapahoe ,Colorado,51.2,3,48.2,15.5,-0.4,15.9,-0.08,-0.18,0.1
Archuleta ,Colorado,44.6,2,42.6,22.96,-0.39,23.35,-0.07,-0.17,0.1
Baca ,Colorado,55.7,2.5,53.2,16.61,0.64,15.97,-0.1,-0.28,0.18
Bent ,Colorado,55.4,2.8,52.7,14.54,0.64,13.9,-0.1,-0.31,0.22
Boulder ,Colorado,45.7,1.9,43.8,19.54,-0.55,20.09,-0.27,-0.38,0.11
Broomfield ,Colorado,52.6,3,49.6,14.82,0.08,14.74,0.04,-0.03,0.07
Chaffee ,Colorado,38.7,1.3,37.4,22.55,4.96,17.59,1.06,0.95,0.11
Cheyenne ,Colorado,54,3.5,50.5,14.53,-0.86,15.39,-0.57,-0.86,0.29
Clear Creek ,Colorado,38.3,1.9,36.4,25.98,-0.04,26.02,-0.32,-0.43,0.1
Conejos ,Colorado,41.6,2.3,39.3,23.57,6.35,17.22,1.49,1.36,0.13
Costilla ,Colorado,42.3,1.4,40.9,22.49,4.88,17.61,1.1,0.95,0.15
Crowley ,Colorado,53.9,3,50.8,13.36,1.35,12.01,0.1,-0.03,0.13
Custer ,Colorado,42.8,2.2,40.6,23.69,3.2,20.49,0.33,0.31,0.02
Delta ,Colorado,48.2,3.2,45,17.09,-0.55,17.64,-0.78,-0.97,0.19
Denver ,Colorado,52.9,3.3,49.6,14.56,-0.46,15.02,-0.19,-0.21,0.03
Dolores ,Colorado,44.3,2.5,41.8,20.61,-2.7,23.31,-0.61,-0.69,0.08
Douglas ,Colorado,48.9,2.5,46.4,18.66,0.42,18.24,0.09,0.01,0.08
Eagle ,Colorado,39.8,1.4,38.5,24.34,0.33,24.01,0,-0.03,0.02
Elbert ,Colorado,49.7,3,46.7,18,1.43,16.57,0.3,0.16,0.14
El Paso ,Colorado,49.8,2.8,47,16.77,0.74,16.03,0.23,0.07,0.16
Fremont ,Colorado,46.7,1.8,44.9,16.23,1.94,14.29,0.34,0.29,0.04
Garfield ,Colorado,44.9,2.8,42.1,21.67,-0.8,22.47,-0.29,-0.41,0.13
Gilpin ,Colorado,40.4,1.8,38.6,23.33,0.45,22.88,-0.18,-0.29,0.11
Grand ,Colorado,37.8,1.5,36.3,22.1,-0.26,22.36,-0.46,-0.51,0.06
Gunnison ,Colorado,38.6,1.5,37.1,25.39,2.18,23.21,0.49,0.38,0.11
Hinsdale ,Colorado,36.2,1.8,34.3,33.85,3.01,30.84,0.5,0.43,0.07
Huerfano ,Colorado,48.3,2.3,46,21.24,3.33,17.91,0.42,0.23,0.19
Jackson ,Colorado,37,1.4,35.6,22.85,-0.26,23.11,-0.3,-0.38,0.08
Jefferson ,Colorado,48,2.4,45.6,18.32,0.13,18.19,-0.13,-0.19,0.06
Kiowa ,Colorado,54.6,3,51.6,13.85,-0.4,14.25,-0.32,-0.59,0.27
Kit Carson ,Colorado,53.6,3.6,49.9,17.5,0.66,16.84,-0.33,-0.62,0.29
Lake ,Colorado,34.6,0.9,33.8,29.38,5.18,24.2,0.75,0.69,0.05
La Plata ,Colorado,46.4,2.9,43.4,21.88,-1.47,23.35,-0.48,-0.56,0.08
Larimer ,Colorado,43.7,2.8,40.9,19.08,-0.91,19.99,-0.5,-0.61,0.11
Las Animas ,Colorado,52.2,1.9,50.3,17.54,1.25,16.29,0.04,-0.12,0.17
Lincoln ,Colorado,51.7,2.9,48.8,16.46,2.18,14.28,0.1,-0.09,0.19
Logan ,Colorado,52.3,3.4,48.9,16.81,0.17,16.64,-0.27,-0.47,0.2
Mesa ,Colorado,49.5,3.9,45.6,16.1,-0.76,16.86,-0.87,-1.1,0.22
Mineral ,Colorado,36.8,1.5,35.3,30.97,0.46,30.51,0.26,0.21,0.05
Moffat ,Colorado,45.7,3.3,42.4,13.88,-0.95,14.83,-0.67,-0.76,0.08
Montezuma ,Colorado,50.5,3.2,47.3,15.43,-1.73,17.16,-0.99,-1.07,0.08
Montrose ,Colorado,49,3.4,45.6,14.17,-1.32,15.49,-1.28,-1.46,0.18
Morgan ,Colorado,51.9,4,47.9,15.19,0.67,14.52,0,-0.2,0.2
Otero ,Colorado,55.1,2.8,52.4,14.11,0.69,13.42,-0.17,-0.28,0.11
Ouray ,Colorado,42.7,3,39.6,22.1,-0.21,22.31,-0.39,-0.53,0.14
Park ,Colorado,38.7,1,37.7,18.55,1.19,17.36,0.21,0.16,0.05
Phillips ,Colorado,53,4,49,19.67,1.72,17.95,-0.28,-0.47,0.19
Pitkin ,Colorado,37.9,1,36.9,31.03,1.92,29.11,0.33,0.27,0.06
Prowers ,Colorado,55.8,2.8,53,15.45,0.28,15.17,-0.14,-0.38,0.24
Pueblo ,Colorado,54.3,3,51.3,16.57,2.99,13.58,0.57,0.48,0.09
Rio Blanco ,Colorado,46,3.3,42.7,18.7,-0.12,18.82,-0.39,-0.56,0.17
Rio Grande ,Colorado,41.4,2.9,38.4,19.33,4.75,14.58,0.5,0.39,0.11
Routt ,Colorado,40.3,1.8,38.5,25.47,0.43,25.04,-0.24,-0.31,0.07
Saguache ,Colorado,40.5,2,38.5,21.36,4.75,16.61,0.94,0.83,0.11
San Juan ,Colorado,35.2,1.9,33.3,42.01,0.34,41.67,0.18,0.1,0.08
San Miguel ,Colorado,46,2.9,43.1,17.52,-1.54,19.06,-0.88,-0.99,0.11
Sedgwick ,Colorado,52.6,3.6,49,18.17,0.05,18.12,-0.37,-0.56,0.18
Summit ,Colorado,35.7,1,34.7,26.78,0.27,26.51,-0.12,-0.16,0.04
Teller ,Colorado,41.2,1.5,39.6,18.55,-0.63,19.18,-0.09,-0.18,0.1
Washington ,Colorado,51.8,3.1,48.7,18.49,1.98,16.51,0.29,0.07,0.22
Weld ,Colorado,51.1,3.6,47.5,12.65,-1.22,13.87,-0.48,-0.67,0.19
Yuma ,Colorado,54,4.2,49.7,18.25,0.69,17.56,-0.52,-0.71,0.19
Fairfield ,Connecticut,53.3,4,49.3,45.75,-2.07,47.82,-0.52,-0.55,0.03
Hartford ,Connecticut,52.5,4.1,48.4,46.56,0.06,46.5,-0.27,-0.28,0.01
Litchfield ,Connecticut,49.9,3.8,46,45.85,-2.33,48.18,-0.43,-0.5,0.07
Middlesex ,Connecticut,52.3,3.5,48.9,47.95,1.18,46.77,-0.11,-0.12,0
New Haven ,Connecticut,52.4,3.4,48.9,47.78,0.27,47.51,-0.17,-0.19,0.02
New London ,Connecticut,52.2,3.5,48.7,44.9,-0.75,45.65,-0.36,-0.36,0
Tolland ,Connecticut,51.1,3.7,47.4,44.69,-0.94,45.63,-0.45,-0.41,-0.03
Windham ,Connecticut,51,3.4,47.6,44.2,-1.54,45.74,-0.51,-0.47,-0.04
